iter	RMSE
0	0.380643695
1	0.3736206325
2	0.367936796
3	0.3634889242
4	0.3599754013
5	0.3570775535
6	0.3549411532
7	0.353267747
8	0.3519709692
9	0.3510033461
10	0.3503410621
11	0.3496603884
12	0.3490536491
13	0.3485240601
14	0.3481862175
15	0.3477417598
16	0.3474225094
17	0.3471840022
18	0.3469238468
19	0.346654304
20	0.3464314525
21	0.3461181484
22	0.3459796979
23	0.3458199601
24	0.3456370374
25	0.3453349323
26	0.3450255591
27	0.3447977176
28	0.3445854052
29	0.3443978275
30	0.3439721209
31	0.34382805
32	0.3437468265
33	0.3437011459
34	0.3436631239
35	0.3436089103
36	0.343352873
37	0.3432450305
38	0.3431069974
39	0.3429960163
40	0.3428237645
41	0.342821682
42	0.3427510102
43	0.3425913483
44	0.3424587535
45	0.3423410721
46	0.3422975468
47	0.3421763665
48	0.3419961673
49	0.3419125628
50	0.3417283638
51	0.3415674496
52	0.3414460568
53	0.3414429689
54	0.3413972255
55	0.3410573358
56	0.3408088606
57	0.3406890707
58	0.3406010117
59	0.3405161109
60	0.3402790385
61	0.3401661983
62	0.3400257493
63	0.3398423755
64	0.3397185293
65	0.3395540112
66	0.3394633154
67	0.3392943483
68	0.339012674
69	0.3386329241
70	0.3384630396
71	0.3383521031
72	0.3382706736
73	0.3381674479
74	0.3381107485
75	0.3381088279
76	0.3379221878
77	0.3378455065
78	0.3378001055
79	0.3377114287
80	0.3375344558
81	0.3374187598
82	0.3371673126
83	0.3371318609
84	0.3370184019
85	0.336936029
86	0.336921101
87	0.3366669636
88	0.3366025934
89	0.3364895828
90	0.3363361614
91	0.3361665196
92	0.3359920429
93	0.335909034
94	0.3358207746
95	0.335700679
96	0.3355489411
97	0.3354634451
98	0.3353092572
99	0.3352794844
100	0.3351307516
101	0.3350105776
102	0.334907388
103	0.3347413788
104	0.3346793595
105	0.3346221266
106	0.3344848956
107	0.3344192295
108	0.3342777848
109	0.3342264505
110	0.3341114882
111	0.333973676
112	0.3337345764
113	0.333605768
114	0.3334932176
115	0.3334906663
116	0.3334000359
117	0.3333147883
118	0.3333116947
119	0.3331727506
120	0.3330632964
121	0.3330031832
122	0.3329234466
123	0.3328154554
124	0.3326409461
125	0.3323931859
126	0.3322902495
127	0.3320440401
128	0.3319879603
129	0.3318950426
130	0.3316764343
131	0.3315945371
132	0.3315922571
133	0.3315327289
134	0.3314125141
135	0.3313061564
136	0.3312045529
137	0.3311327426
138	0.3310265923
139	0.3309066806
140	0.3308888885
141	0.3308176257
142	0.3307709429
143	0.3307188314
144	0.3306381672
145	0.3306124331
146	0.3305164604
147	0.330469548
148	0.3303833399
149	0.33026905
150	0.3302223756
151	0.330176534
152	0.3301633031
153	0.3301318017
154	0.3299579524
155	0.3298249852
156	0.3297888877
157	0.3295335388
158	0.3294811492
159	0.3293685002
160	0.3292593608
161	0.3292213678
162	0.3291072503
163	0.3289174032
164	0.3287860192
165	0.3287035535
166	0.3286148497
167	0.3285750875
168	0.3285055851
169	0.3284523478
170	0.3284126917
171	0.3283110002
172	0.3282757937
173	0.3281760431
174	0.3281036249
175	0.328032936
176	0.3279129153
177	0.3277454627
178	0.3276577274
179	0.3275341458
180	0.3275132843
181	0.3274250605
182	0.3273477518
183	0.3273115671
184	0.3271399855
185	0.3270721102
186	0.3269775402
187	0.32692489
188	0.3266516406
189	0.3265350061
190	0.3264515564
191	0.3263947588
192	0.3263222907
193	0.3263112033
194	0.3262343668
195	0.3261727135
196	0.326106792
197	0.32605377
198	0.3258885438
199	0.3258509185
200	0.3257623125
201	0.3257036402
202	0.32559819
203	0.3255120394
204	0.3253605045
205	0.3252936547
206	0.3252403649
207	0.3251690583
208	0.3250480375
209	0.324995801
210	0.3249176138
211	0.3248655589
212	0.3247652572
213	0.324729579
214	0.3246013066
215	0.3245246469
216	0.3243452811
217	0.3241131019
218	0.3240388834
219	0.3240073432
220	0.323926509
221	0.3238275542
222	0.3237643297
223	0.3237617402
224	0.3236673541
225	0.3235682646
226	0.3234894439
227	0.3234626245
228	0.3234406428
229	0.3233811395
230	0.3232799998
231	0.3232123672
232	0.3230826268
233	0.3229952451
234	0.322972037
235	0.3229064222
236	0.3228493591
237	0.3226870066
238	0.3226802429
239	0.322599383
240	0.3224724202
241	0.3223523892
242	0.3222081648
243	0.3221245969
244	0.3220462657
245	0.321952985
246	0.3218385552
247	0.3217435764
248	0.3217107052
249	0.3216199816
250	0.3215750674
251	0.3215140643
252	0.3214601143
253	0.3213904749
254	0.3212530497
255	0.3212101243
256	0.3211698407
257	0.321064604
258	0.3210240695
259	0.3209352307
260	0.3208641641
261	0.320757922
262	0.3207120689
263	0.3206639778
264	0.3205888151
265	0.3205011825
266	0.3204089962
267	0.3203447249
268	0.3203166066
269	0.3202666899
270	0.3202018989
271	0.3201186975
272	0.3200551278
273	0.319913745
274	0.3198746556
275	0.319732232
276	0.3196776205
277	0.3195180549
278	0.3194770691
279	0.3194183573
280	0.3193507598
281	0.3193131252
282	0.3192838017
283	0.319234576
284	0.3191858308
285	0.3191562795
286	0.3189722264
287	0.318966115
288	0.3189025654
289	0.3188415206
290	0.318687424
291	0.3185850806
292	0.318508517
293	0.3184030464
294	0.3183644735
295	0.3183111036
296	0.3182435573
297	0.318212156
298	0.3181436897
299	0.3180641862
300	0.3180140274
301	0.3179786568
302	0.3178931048
303	0.3178461166
304	0.3177458396
305	0.317614383
306	0.3174806502
307	0.3173782212
308	0.3173307057
309	0.3171643078
310	0.3170810396
311	0.3170097512
312	0.3169079458
313	0.3167400873
314	0.3166896135
315	0.3166457517
316	0.316554762
317	0.3164856463
318	0.3164020843
319	0.3162905821
320	0.3162131565
321	0.3161363624
322	0.3160694059
