iter	Passed	Remaining
0	121	176758
1	218	158878
2	309	150127
3	390	142082
4	467	135806
5	545	132025
6	610	126715
7	691	125466
8	773	124601
9	852	123487
10	905	119244
11	969	116866
12	1030	114641
13	1096	113151
14	1163	111999
15	1233	111260
16	1302	110443
17	1375	110113
18	1445	109563
19	1516	109080
20	1590	108901
21	1677	109541
22	1754	109550
23	1831	109521
24	1901	109049
25	1974	108837
26	2070	109797
27	2179	111380
28	2279	112391
29	2347	111818
30	2416	111336
31	2494	111232
32	2578	111429
33	2667	111801
34	2736	111349
35	2828	111812
36	2906	111707
37	2999	112158
38	3085	112359
39	3173	112593
40	3265	112929
41	3333	112475
42	3416	112506
43	3487	112153
44	3559	111840
45	3647	112041
46	3746	112558
47	3845	113049
48	3933	113199
49	3999	112692
50	4069	112360
51	4141	112057
52	4227	112139
53	4281	111396
54	4359	111290
55	4455	111636
56	4552	111982
57	4653	112398
58	4745	112605
59	4832	112682
60	4906	112443
61	4985	112334
62	5071	112377
63	5165	112585
64	5255	112709
65	5334	112583
66	5410	112414
67	5476	112028
68	5545	111720
69	5615	111420
70	5695	111344
71	5792	111580
72	5897	111974
73	5998	112264
74	6079	112188
75	6126	111490
76	6190	111101
77	6270	111021
78	6353	110992
79	6442	111054
80	6517	110876
81	6596	110766
82	6687	110871
83	6780	110993
84	6860	110892
85	6940	110805
86	7005	110485
87	7082	110343
88	7172	110401
89	7256	110384
90	7341	110364
91	7427	110357
92	7521	110473
93	7624	110715
94	7722	110876
95	7810	110891
96	7903	110980
97	7980	110837
98	8068	110836
99	8137	110585
100	8210	110394
101	8273	110072
102	8339	109788
103	8407	109535
104	8474	109276
105	8538	108989
106	8608	108768
107	8676	108533
108	8752	108399
109	8841	108429
110	8933	108494
111	9019	108473
112	9118	108609
113	9204	108596
114	9287	108545
115	9344	108182
116	9419	108038
117	9485	107794
118	9555	107600
119	9625	107403
120	9702	107287
121	9782	107210
122	9863	107130
123	9930	106916
124	10005	106780
125	10087	106716
126	10167	106642
127	10255	106641
128	10342	106631
129	10428	106613
130	10525	106696
131	10626	106825
132	10692	106606
133	10789	106689
134	10866	106573
135	10958	106605
136	11062	106748
137	11146	106699
138	11222	106571
139	11290	106377
140	11358	106170
141	11431	106020
142	11499	105825
143	11569	105650
144	11637	105462
145	11716	105365
146	11793	105258
147	11867	105119
148	11941	104987
149	12033	105014
150	12124	105024
151	12214	105024
152	12297	104970
153	12398	105063
154	12477	104970
155	12548	104811
156	12625	104705
157	12710	104663
158	12801	104667
159	12871	104500
160	12936	104298
161	13005	104124
162	13078	103985
163	13167	103972
164	13250	103916
165	13345	103953
166	13434	103933
167	13517	103879
168	13605	103853
169	13706	103931
170	13790	103872
171	13872	103804
172	13946	103670
173	14014	103500
174	14082	103322
175	14152	103165
176	14229	103061
177	14305	102949
178	14375	102798
179	14453	102697
180	14529	102589
181	14605	102478
182	14684	102391
183	14757	102262
184	14846	102237
185	14930	102185
186	15001	102039
187	15079	101947
188	15156	101847
189	15260	101927
190	15369	102031
191	15455	101989
192	15548	101991
193	15625	101888
194	15717	101882
195	15798	101801
196	15877	101711
197	15964	101673
198	16042	101575
199	16118	101468
200	16191	101340
201	16267	101230
202	16354	101187
203	16463	101283
204	16551	101245
205	16661	101344
206	16735	101223
207	16802	101056
208	16870	100898
209	16938	100745
210	17019	100663
211	17117	100685
212	17213	100695
213	17308	100694
214	17405	100706
215	17504	100732
216	17589	100671
217	17668	100577
218	17735	100417
219	17804	100270
220	17873	100123
221	17938	99952
222	18005	99797
223	18055	99549
224	18128	99423
225	18203	99316
226	18312	99386
227	18398	99334
228	18484	99285
229	18581	99287
230	18691	99362
231	18793	99393
232	18882	99356
233	18944	99177
234	19006	98996
235	19073	98844
236	19143	98703
237	19211	98561
238	19266	98345
239	19342	98242
240	19421	98154
241	19513	98132
242	19599	98080
243	19693	98065
244	19793	98078
245	19882	98040
246	19949	97888
247	20015	97737
248	20116	97756
249	20205	97714
250	20276	97587
251	20352	97483
252	20439	97431
253	20522	97360
254	20617	97344
255	20702	97285
256	20780	97190
257	20870	97155
258	20955	97092
259	21029	96979
260	21103	96864
261	21181	96772
262	21285	96796
263	21391	96831
264	21498	96866
265	21605	96900
266	21702	96890
267	21770	96750
268	21842	96624
269	21910	96487
270	21977	96343
271	22045	96205
272	22136	96169
273	22214	96072
274	22298	96004
275	22379	95925
276	22465	95863
277	22553	95809
278	22650	95797
279	22734	95730
280	22809	95619
281	22878	95488
282	22943	95341
283	23008	95195
284	23082	95085
285	23158	94982
286	23228	94855
287	23296	94722
288	23371	94619
289	23447	94518
290	23533	94456
291	23627	94427
292	23742	94481
293	23844	94483
294	23943	94476
295	24031	94419
296	24106	94316
297	24194	94262
298	24283	94208
299	24353	94084
300	24417	93939
301	24486	93809
302	24551	93667
303	24617	93530
304	24685	93399
305	24766	93321
306	24877	93351
307	24963	93287
308	25046	93214
309	25130	93144
310	25233	93143
311	25314	93062
312	25394	92978
313	25490	92952
314	25574	92881
315	25651	92784
316	25742	92738
317	25852	92760
318	25959	92770
319	26052	92730
320	26126	92624
321	26206	92537
322	26279	92427
323	26356	92327
324	26428	92214
325	26516	92157
326	26605	92101
327	26692	92040
328	26774	91959
329	26854	91875
330	26931	91779
331	27006	91676
332	27075	91553
333	27145	91433
334	27214	91310
335	27286	91199
336	27372	91134
337	27452	91049
338	27533	90966
339	27615	90887
340	27693	90795
341	27795	90782
342	27908	90804
343	28019	90820
344	28099	90732
345	28181	90652
346	28256	90551
347	28321	90418
348	28387	90285
349	28457	90169
350	28524	90042
351	28598	89940
352	28671	89832
353	28759	89772
354	28841	89692
355	28935	89651
356	29033	89621
357	29123	89566
358	29217	89523
359	29298	89442
360	29377	89352
361	29461	89280
362	29549	89218
363	29619	89101
364	29683	88968
365	29751	88848
366	29818	88723
367	29901	88647
368	29972	88537
369	30060	88476
370	30141	88394
371	30248	88387
372	30361	88397
373	30464	88380
374	30549	88307
375	30618	88190
376	30681	88056
377	30754	87950
378	30825	87840
379	30898	87736
380	30981	87658
381	31066	87587
382	31135	87471
383	31206	87361
384	31280	87259
385	31359	87173
386	31438	87086
387	31522	87011
388	31627	86995
389	31709	86916
390	31793	86841
391	31866	86737
392	31948	86660
393	32037	86598
394	32113	86502
395	32203	86445
396	32299	86404
397	32379	86318
398	32481	86290
399	32584	86267
400	32671	86199
401	32755	86125
402	32828	86022
403	32910	85942
404	33000	85881
405	33084	85807
406	33168	85733
407	33242	85632
408	33315	85527
409	33395	85442
410	33468	85340
411	33553	85267
412	33644	85211
413	33748	85186
414	33845	85144
415	33922	85051
416	33992	84940
417	34080	84876
418	34166	84803
419	34255	84742
420	34348	84688
421	34415	84570
422	34497	84490
423	34577	84405
424	34652	84306
425	34732	84222
426	34805	84120
427	34897	84064
428	34971	83964
429	35044	83862
430	35129	83788
431	35219	83728
432	35311	83671
433	35413	83637
434	35515	83604
435	35625	83588
436	35737	83578
437	35830	83522
438	35915	83448
439	35985	83338
440	36048	83213
441	36111	83089
442	36174	82964
443	36237	82840
444	36309	82736
445	36385	82642
446	36460	82546
447	36538	82456
448	36616	82367
449	36690	82269
450	36782	82211
451	36887	82180
452	36983	82131
453	37088	82102
454	37197	82079
455	37290	82022
456	37361	81917
457	37439	81827
458	37504	81708
459	37571	81595
460	37643	81493
461	37713	81386
462	37782	81277
463	37850	81166
464	37924	81069
465	38009	80994
466	38095	80921
467	38172	80831
468	38243	80726
469	38314	80622
470	38389	80528
471	38475	80455
472	38559	80379
473	38653	80323
474	38744	80262
475	38828	80186
476	38915	80116
477	38992	80024
478	39078	79951
479	39169	79889
480	39262	79831
481	39361	79785
482	39455	79728
483	39537	79646
484	39616	79560
485	39683	79448
486	39751	79339
487	39821	79234
488	39897	79143
489	39974	79051
490	40044	78947
491	40114	78842
492	40196	78763
493	40280	78685
494	40353	78587
495	40426	78489
496	40508	78408
497	40587	78322
498	40671	78245
499	40758	78175
500	40831	78077
501	40915	78000
502	41000	77925
503	41102	77881
504	41196	77825
505	41292	77770
506	41382	77704
507	41473	77640
508	41541	77533
509	41617	77441
510	41687	77338
511	41755	77231
512	41830	77137
513	41912	77057
514	41989	76967
515	42062	76870
516	42148	76796
517	42227	76710
518	42312	76635
519	42394	76554
520	42463	76450
